category,question,options,answer,stimulus,stimulus_warning
"music","In a 7/8 meter, which of the following grouping patterns is most commonly used?","2+2+3,3+2+2,2+3+2,4+3","1","",""
"music","Which of the following is an essential feature of Stretto in a fugue?","The subject is presented in retrograde.,The subject is imitated at progressively closer intervals of time.,The subject is inverted.,The answer is delayed by several measures.","2","",""
"music","In a dominant seventh chord with a raised fifth (e.g., G7#5), what is the most likely function of this chord in a minor key?","It functions as a predominant.,It functions as a dominant to the tonic.,It functions as a mediant chord.,It functions as a tonic substitute.","2","",""
"music","Which of the following sets is considered a hexachord in twelve-tone equal temperament?","{0 1 3 4 5 7},{0 1 2 3 4 5},{0 2 4 6 7 9},{0 2 3 5 7 8}","2","",""
"music","Which of the following best defines polytonality?","Simultaneous use of multiple modes with shared tonics.,Simultaneous use of multiple keys or tonal centers.,Use of different scale degrees in the same key to create tension.,Use of non-traditional scale systems like the whole-tone scale.","2","",""
"music","A plagal cadence typically resolves from which chord to which chord in a major key?","IV → I,V → I,ii → V,V7 → V","1","",""
"music","In jazz harmony, what is the function of a tritone substitution?","It substitutes a dominant chord a whole step above the original dominant.,It substitutes a diminished chord for a minor chord.,It substitutes a major seventh chord for a minor seventh chord.,It substitutes a diminished seventh chord for a dominant seventh chord.","1","",""
"music","The octatonic scale is also known by which of the following names?","Whole-half diminished scale,Whole-tone scale,Major scale with a lowered seventh,Harmonic minor scale","1","",""
"music","Which of the following modes is considered the Dorian mode when starting on D?","[ D-E-F-G-A-B-C],[D-E-F#-G-A-B-C],[D-E-F-G-A-B♭-C],[D-E-F#-G-A-B-C#]","1","",""
"music","In a cantus firmus technique, which of the following statements is most accurate?","The cantus firmus is typically a slow-moving melodic line in the soprano voice.,The cantus firmus is generally a rhythmic accompaniment in the bass voice.,The cantus firmus is usually free counterpoint and does not adhere to a specific tonality.,The cantus firmus is frequently placed in the alto or tenor voice and moves in complex rhythms.","1","",""
"music","Which of the following chords contains a tritone, and what is the function of the tritone in traditional harmony?","A major seventh chord; it provides a dissonant interval that resolves to a tonic chord.,A dominant seventh chord; it creates tension that resolves to the tonic.,A diminished seventh chord; it resolves to a tonic minor chord.,A minor seventh chord; it functions as a predominant chord.","2","",""
"music","In jazz, what is the primary function of a half-diminished seventh chord (ø7)?","To function as a dominant preparation. Usually leading to the tonic or dominant.,To resolve to a major seventh chord. Creating a smooth transition between keys.,To provide tension in the middle of a progression without resolving to tonic.,To function as a predominant chord leading to the dominant seventh.","4","",""
"music","In twelve-tone serialism, what is the relationship between a prime row and its retrograde?","The retrograde is the prime row inverted.,The retrograde is the prime row played backwards.,The retrograde is the inversion of the prime row.,There is no relation between the two rows.","2","",""
"music","Which of the following is the primary purpose of rhythmic displacement in modern music composition?","To create complex time signatures that create a sense of instability.,To shift the rhythm of the melody or accompaniment to create tension and variety.,To lengthen the value of certain notes in a melody for dramatic effect.,To ensure that all parts in a polyphonic texture have equal rhythmic values.","2","",""
"music","What is the most likely function of the augmented sixth chord in classical harmony?","To prepare the dominant seventh chord in a deceptive cadence.,To resolve to the tonic via a V-I progression.,To substitute a major chord for a dominant seventh chord.,To resolve to the dominant chord. Creating tension before the final cadence.","4","",""
"music","In jazz, the chord symbol Cmaj7(13) would imply what extension to the chord?","It is a C major seventh chord with a 13th added (i.e. an A on top).,It is a C major seventh chord with both the 11th and 13th added.,It is a C major seventh chord with the 9th and 13th added.,It is a C major chord with an added 13th and no seventh.","1","",""
"japanese","Translate the following phrase into Japanese: 'The wind whispered through the trees, carrying secrets from the past.'","風は木々を通り抜け、過去の秘密を運んできた。,木々を吹き抜ける風が過去の秘密を運んだ。,風が木々を通り抜けて、秘密を運んだ。,風は木々を通り抜け、過去の思い出を運んできた。","1","",""
"japanese","Translate this Japanese tongue twister into English: '隣の客はよく柿食う客だ。'","The neighbor's guest often eats persimmons.,The neighbor's guest is a frequent persimmon eater.,The guest in the neighbor's house eats persimmons often.,The guest who lives next door is fond of persimmons.","1","",""
"japanese","Which of the following Japanese sentences most accurately expresses the idea: 'I was so excited that I forgot to bring my notes to class'?","授業にノートを持って行くのを忘れるほど興奮していた。,授業の準備ができていなかったので、ノートを忘れてしまった。,ノートを授業に持って行くことを忘れて興奮していた。,興奮しすぎて、授業にノートを持って行くのを忘れてしまった。","4","",""
"japanese","Translate this phrase into Japanese, considering the cultural context: 'In Japan, respect for elders is paramount and deeply ingrained in society.'","日本では、年長者を尊敬することが最も重要であり、社会に深く根付いている。,日本社会では年長者への尊敬は深い伝統として根付いている。,日本では年長者の尊敬が重要であり、これは社会的に強調されている。,日本文化では年長者を尊敬することが習慣として根付いている。","1","",""
"japanese","How would you translate the phrase 'Ikigai' into English?","A reason for being,A sense of duty,A cultural practice,A peaceful state of mind","1","",""
"japanese","How would you translate this idiomatic phrase into Japanese? 'To burn the midnight oil.'","夜遅くまで働く,深夜に作業をする,夜中に勉強する,徹夜で働く","1",,
"japanese","Translate this tongue twister into English: '八百屋お八百屋、八百屋の前に八百八十円。'","The vegetable shopkeeper is in front of the vegetable shop.,The vegetable store sells vegetables for 880 yen.,The vegetable shopkeeper sells 880 yen worth of vegetables.,The vegetable shopkeeper near the vegetable store has 880 yen.","2","",""
"japanese","Which of the following sentences best captures the essence of 'It was not until he left that I realized how much I valued his presence'?","彼が去るまで、私は彼の存在をどれほど大切にしていたか気づかなかった。,彼が出発するまで、彼の重要さを理解していなかった。,彼が去ってから初めて、私は彼の存在を大切に思っていることに気づいた。,彼がいなくなるまで、私は彼がどれほど大事か気づかなかった。","3","",""
"japanese","What is the most accurate translation of the term 'Mono no Aware' in the context of Japanese aesthetics?","The awareness of the impermanence of things,The beauty of stillness,The sound of nature,The importance of simplicity","1","",""
"japanese","Translate the following into polite Japanese: 'I would like to request your cooperation on this matter.'","この件に関してご協力をお願い申し上げます。,この事についてご協力をお願い致します。,こちらの問題について協力していただけますか。,この問題についてお手伝い頂けますでしょうか。","1","",""
"japanese","How would you translate the term 'Shogunate' into Japanese in historical texts?"," 将軍制,幕府,大名制度,政権","2","",""
"japanese","Which of the following kanji represents 'hope'?","希,愛,力,幸","1","",""
"japanese","How would you translate 'Harakiri' in a culturally sensitive context?"," A form of traditional Japanese suicide by disembowelment,A ritual practice in Japanese culture,A cultural practice of self-discipline,A spiritual tradition in Japan","1",,
"japanese","Translate this literary phrase into Japanese: 'The vast expanse of the ocean stretched endlessly before him, filled with both dread and awe.'","彼の前に広がる広大な海は、恐怖と畏怖で満ちていた。,無限に広がる海は彼にとって畏怖と不安を同時に感じさせた。,彼の目の前に広がる海は、恐れと畏敬に包まれていた。,彼の目の前に広がる広大な海は、絶望と驚きで満たされていた。","3","",""
"japanese","How would you translate 'Wabi-sabi' in English, considering its cultural significance?","The beauty of imperfection and transience,The aesthetic of simplicity and humility,The appreciation of symmetry and perfection,The significance of nature in design","1","",""
"japanese","Translate the following tongue twister into English: '生麦生米生卵'","Raw wheat raw rice raw eggs,Fresh wheat fresh rice fresh eggs,Green rice green wheat green eggs,Wet wheat wet rice wet eggs","1","",""
"japanese","Translate the following into Japanese: 'Through the fog, he could just make out the faint outlines of the distant mountains.'","霧の中で、彼は遠くの山々の薄い輪郭をかろうじて見分けることができた。,霧の中で、彼は遠くの山をかすかに見た。,霧の中で、彼は遠くの山々の姿をぼんやりと見ることができた。,霧の中で、彼は山の輪郭をわずかに見えた。","1","",""
"japanese","Translate the following proverb into Japanese: 'The early bird catches the worm.'","遅れても必ず目的地に着,早起きは三文の徳,眠る鳥は夢を見る, 急がば回れ","2","",""
